model_name,model_type,validation_accuracy,validation_precision_weighted,validation_recall_weighted,validation_f1_weighted,validation_top_3_accuracy,params,validation_report
xgboost_multiclass_v2,XGBClassifier,0.900463,0.90099,0.900463,0.900472,0.99213,"{'objective': 'multi:softprob', 'num_class': 30, 'n_estimators': 650, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.85, 'colsample_bytree': 0.8, 'reg_lambda': 1.2, 'eval_metric': 'mlogloss', 'tree_method': 'hist', 'random_state': 42, 'n_jobs': 1, 'early_stopping_rounds': 30}","{'bajra': {'precision': 0.9594594594594594, 'recall': 0.9861111111111112, 'f1-score': 0.9726027397260274, 'support': 72.0}, 'banana': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'blackgram': {'precision': 0.6, 'recall': 0.5833333333333334, 'f1-score': 0.5915492957746479, 'support': 72.0}, 'brinjal': {'precision': 0.918918918918919, 'recall': 0.9444444444444444, 'f1-score': 0.9315068493150684, 'support': 72.0}, 'cabbage': {'precision': 1.0, 'recall': 0.9861111111111112, 'f1-score': 0.993006993006993, 'support': 72.0}, 'chili': {'precision': 0.859375, 'recall': 0.7638888888888888, 'f1-score': 0.8088235294117647, 'support': 72.0}, 'cotton': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'cowpea': {'precision': 0.6301369863013698, 'recall': 0.6388888888888888, 'f1-score': 0.6344827586206897, 'support': 72.0}, 'ginger': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'gram': {'precision': 0.8059701492537313, 'recall': 0.75, 'f1-score': 0.7769784172661871, 'support': 72.0}, 'grapes': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'groundnut': {'precision': 0.9594594594594594, 'recall': 0.9861111111111112, 'f1-score': 0.9726027397260274, 'support': 72.0}, 'jowar': {'precision': 0.9178082191780822, 'recall': 0.9305555555555556, 'f1-score': 0.9241379310344827, 'support': 72.0}, 'lentil': {'precision': 0.7662337662337663, 'recall': 0.8194444444444444, 'f1-score': 0.7919463087248322, 'support': 72.0}, 'maize': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'mungbean': {'precision': 0.7536231884057971, 'recall': 0.7222222222222222, 'f1-score': 0.7375886524822695, 'support': 72.0}, 'onion': {'precision': 0.6266666666666667, 'recall': 0.6527777777777778, 'f1-score': 0.6394557823129252, 'support': 72.0}, 'orange': {'precision': 0.8732394366197183, 'recall': 0.8611111111111112, 'f1-score': 0.8671328671328671, 'support': 72.0}, 'pomegranate': {'precision': 0.9861111111111112, 'recall': 0.9861111111111112, 'f1-score': 0.9861111111111112, 'support': 72.0}, 'potato': {'precision': 0.9863013698630136, 'recall': 1.0, 'f1-score': 0.993103448275862, 'support': 72.0}, 'ragi': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'rice': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'sesame': {'precision': 0.8648648648648649, 'recall': 0.8888888888888888, 'f1-score': 0.8767123287671232, 'support': 72.0}, 'soybean': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'sugarcane': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'sunflower': {'precision': 0.9852941176470589, 'recall': 0.9305555555555556, 'f1-score': 0.9571428571428572, 'support': 72.0}, 'tomato': {'precision': 0.618421052631579, 'recall': 0.6527777777777778, 'f1-score': 0.6351351351351351, 'support': 72.0}, 'tur': {'precision': 0.9178082191780822, 'recall': 0.9305555555555556, 'f1-score': 0.9241379310344827, 'support': 72.0}, 'turmeric': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'wheat': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'accuracy': 0.9004629629629629, 'macro avg': {'precision': 0.9009897328597559, 'recall': 0.9004629629629631, 'f1-score': 0.9004719225333786, 'support': 2160.0}, 'weighted avg': {'precision': 0.9009897328597559, 'recall': 0.9004629629629629, 'f1-score': 0.9004719225333784, 'support': 2160.0}}"
random_forest_balanced_v1,RandomForestClassifier,0.900463,0.900446,0.900463,0.900294,0.994907,"{'n_estimators': 300, 'max_depth': 18, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample', 'random_state': 42, 'n_jobs': 1}","{'bajra': {'precision': 0.9333333333333333, 'recall': 0.9722222222222222, 'f1-score': 0.9523809523809523, 'support': 72.0}, 'banana': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'blackgram': {'precision': 0.6119402985074627, 'recall': 0.5694444444444444, 'f1-score': 0.5899280575539568, 'support': 72.0}, 'brinjal': {'precision': 0.918918918918919, 'recall': 0.9444444444444444, 'f1-score': 0.9315068493150684, 'support': 72.0}, 'cabbage': {'precision': 1.0, 'recall': 0.9861111111111112, 'f1-score': 0.993006993006993, 'support': 72.0}, 'chili': {'precision': 0.835820895522388, 'recall': 0.7777777777777778, 'f1-score': 0.8057553956834532, 'support': 72.0}, 'cotton': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'cowpea': {'precision': 0.6486486486486487, 'recall': 0.6666666666666666, 'f1-score': 0.6575342465753424, 'support': 72.0}, 'ginger': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'gram': {'precision': 0.7837837837837838, 'recall': 0.8055555555555556, 'f1-score': 0.7945205479452054, 'support': 72.0}, 'grapes': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'groundnut': {'precision': 0.958904109589041, 'recall': 0.9722222222222222, 'f1-score': 0.9655172413793104, 'support': 72.0}, 'jowar': {'precision': 0.9154929577464789, 'recall': 0.9027777777777778, 'f1-score': 0.9090909090909091, 'support': 72.0}, 'lentil': {'precision': 0.8, 'recall': 0.7777777777777778, 'f1-score': 0.7887323943661971, 'support': 72.0}, 'maize': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'mungbean': {'precision': 0.7432432432432432, 'recall': 0.7638888888888888, 'f1-score': 0.7534246575342466, 'support': 72.0}, 'onion': {'precision': 0.6142857142857143, 'recall': 0.5972222222222222, 'f1-score': 0.6056338028169014, 'support': 72.0}, 'orange': {'precision': 0.84, 'recall': 0.875, 'f1-score': 0.8571428571428571, 'support': 72.0}, 'pomegranate': {'precision': 1.0, 'recall': 0.9722222222222222, 'f1-score': 0.9859154929577465, 'support': 72.0}, 'potato': {'precision': 0.9863013698630136, 'recall': 1.0, 'f1-score': 0.993103448275862, 'support': 72.0}, 'ragi': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'rice': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'sesame': {'precision': 0.9142857142857143, 'recall': 0.8888888888888888, 'f1-score': 0.9014084507042254, 'support': 72.0}, 'soybean': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'sugarcane': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'sunflower': {'precision': 0.9714285714285714, 'recall': 0.9444444444444444, 'f1-score': 0.9577464788732394, 'support': 72.0}, 'tomato': {'precision': 0.631578947368421, 'recall': 0.6666666666666666, 'f1-score': 0.6486486486486487, 'support': 72.0}, 'tur': {'precision': 0.9054054054054054, 'recall': 0.9305555555555556, 'f1-score': 0.9178082191780822, 'support': 72.0}, 'turmeric': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'wheat': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'accuracy': 0.9004629629629629, 'macro avg': {'precision': 0.9004457303976713, 'recall': 0.900462962962963, 'f1-score': 0.90029352144764, 'support': 2160.0}, 'weighted avg': {'precision': 0.9004457303976713, 'recall': 0.9004629629629629, 'f1-score': 0.9002935214476399, 'support': 2160.0}}"
xgboost_multiclass_v1,XGBClassifier,0.900463,0.900345,0.900463,0.900116,0.993056,"{'objective': 'multi:softprob', 'num_class': 30, 'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.85, 'reg_lambda': 1.0, 'eval_metric': 'mlogloss', 'tree_method': 'hist', 'random_state': 42, 'n_jobs': 1, 'early_stopping_rounds': 30}","{'bajra': {'precision': 0.958904109589041, 'recall': 0.9722222222222222, 'f1-score': 0.9655172413793104, 'support': 72.0}, 'banana': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'blackgram': {'precision': 0.6119402985074627, 'recall': 0.5694444444444444, 'f1-score': 0.5899280575539568, 'support': 72.0}, 'brinjal': {'precision': 0.9066666666666666, 'recall': 0.9444444444444444, 'f1-score': 0.9251700680272109, 'support': 72.0}, 'cabbage': {'precision': 0.9861111111111112, 'recall': 0.9861111111111112, 'f1-score': 0.9861111111111112, 'support': 72.0}, 'chili': {'precision': 0.8412698412698413, 'recall': 0.7361111111111112, 'f1-score': 0.7851851851851852, 'support': 72.0}, 'cotton': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'cowpea': {'precision': 0.6388888888888888, 'recall': 0.6388888888888888, 'f1-score': 0.6388888888888888, 'support': 72.0}, 'ginger': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'gram': {'precision': 0.7945205479452054, 'recall': 0.8055555555555556, 'f1-score': 0.8, 'support': 72.0}, 'grapes': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'groundnut': {'precision': 0.9466666666666667, 'recall': 0.9861111111111112, 'f1-score': 0.9659863945578231, 'support': 72.0}, 'jowar': {'precision': 0.9054054054054054, 'recall': 0.9305555555555556, 'f1-score': 0.9178082191780822, 'support': 72.0}, 'lentil': {'precision': 0.8028169014084507, 'recall': 0.7916666666666666, 'f1-score': 0.7972027972027972, 'support': 72.0}, 'maize': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'mungbean': {'precision': 0.7534246575342466, 'recall': 0.7638888888888888, 'f1-score': 0.7586206896551724, 'support': 72.0}, 'onion': {'precision': 0.6025641025641025, 'recall': 0.6527777777777778, 'f1-score': 0.6266666666666667, 'support': 72.0}, 'orange': {'precision': 0.84, 'recall': 0.875, 'f1-score': 0.8571428571428571, 'support': 72.0}, 'pomegranate': {'precision': 0.9861111111111112, 'recall': 0.9861111111111112, 'f1-score': 0.9861111111111112, 'support': 72.0}, 'potato': {'precision': 0.9861111111111112, 'recall': 0.9861111111111112, 'f1-score': 0.9861111111111112, 'support': 72.0}, 'ragi': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'rice': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'sesame': {'precision': 0.8666666666666667, 'recall': 0.9027777777777778, 'f1-score': 0.8843537414965986, 'support': 72.0}, 'soybean': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'sugarcane': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'sunflower': {'precision': 0.9850746268656716, 'recall': 0.9166666666666666, 'f1-score': 0.9496402877697842, 'support': 72.0}, 'tomato': {'precision': 0.6666666666666666, 'recall': 0.6388888888888888, 'f1-score': 0.6524822695035462, 'support': 72.0}, 'tur': {'precision': 0.9305555555555556, 'recall': 0.9305555555555556, 'f1-score': 0.9305555555555556, 'support': 72.0}, 'turmeric': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'wheat': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'accuracy': 0.9004629629629629, 'macro avg': {'precision': 0.900345497851129, 'recall': 0.9004629629629631, 'f1-score': 0.9001160751032258, 'support': 2160.0}, 'weighted avg': {'precision': 0.900345497851129, 'recall': 0.9004629629629629, 'f1-score': 0.9001160751032256, 'support': 2160.0}}"
random_forest_balanced_v2,RandomForestClassifier,0.9,0.899271,0.9,0.899358,0.994907,"{'n_estimators': 450, 'max_depth': 24, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample', 'random_state': 42, 'n_jobs': 1}","{'bajra': {'precision': 0.9333333333333333, 'recall': 0.9722222222222222, 'f1-score': 0.9523809523809523, 'support': 72.0}, 'banana': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'blackgram': {'precision': 0.6229508196721312, 'recall': 0.5277777777777778, 'f1-score': 0.5714285714285714, 'support': 72.0}, 'brinjal': {'precision': 0.9066666666666666, 'recall': 0.9444444444444444, 'f1-score': 0.9251700680272109, 'support': 72.0}, 'cabbage': {'precision': 1.0, 'recall': 0.9861111111111112, 'f1-score': 0.993006993006993, 'support': 72.0}, 'chili': {'precision': 0.8382352941176471, 'recall': 0.7916666666666666, 'f1-score': 0.8142857142857143, 'support': 72.0}, 'cotton': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'cowpea': {'precision': 0.6447368421052632, 'recall': 0.6805555555555556, 'f1-score': 0.6621621621621622, 'support': 72.0}, 'ginger': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'gram': {'precision': 0.7972972972972973, 'recall': 0.8194444444444444, 'f1-score': 0.8082191780821918, 'support': 72.0}, 'grapes': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'groundnut': {'precision': 0.958904109589041, 'recall': 0.9722222222222222, 'f1-score': 0.9655172413793104, 'support': 72.0}, 'jowar': {'precision': 0.9027777777777778, 'recall': 0.9027777777777778, 'f1-score': 0.9027777777777778, 'support': 72.0}, 'lentil': {'precision': 0.8142857142857143, 'recall': 0.7916666666666666, 'f1-score': 0.8028169014084507, 'support': 72.0}, 'maize': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'mungbean': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 72.0}, 'onion': {'precision': 0.6027397260273972, 'recall': 0.6111111111111112, 'f1-score': 0.6068965517241379, 'support': 72.0}, 'orange': {'precision': 0.8493150684931506, 'recall': 0.8611111111111112, 'f1-score': 0.8551724137931035, 'support': 72.0}, 'pomegranate': {'precision': 1.0, 'recall': 0.9861111111111112, 'f1-score': 0.993006993006993, 'support': 72.0}, 'potato': {'precision': 0.9863013698630136, 'recall': 1.0, 'f1-score': 0.993103448275862, 'support': 72.0}, 'ragi': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'rice': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'sesame': {'precision': 0.8888888888888888, 'recall': 0.8888888888888888, 'f1-score': 0.8888888888888888, 'support': 72.0}, 'soybean': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'sugarcane': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'sunflower': {'precision': 0.9710144927536232, 'recall': 0.9305555555555556, 'f1-score': 0.950354609929078, 'support': 72.0}, 'tomato': {'precision': 0.6388888888888888, 'recall': 0.6388888888888888, 'f1-score': 0.6388888888888888, 'support': 72.0}, 'tur': {'precision': 0.8717948717948718, 'recall': 0.9444444444444444, 'f1-score': 0.9066666666666666, 'support': 72.0}, 'turmeric': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'wheat': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 72.0}, 'accuracy': 0.9, 'macro avg': {'precision': 0.8992710387184902, 'recall': 0.9, 'f1-score': 0.8993581340370986, 'support': 2160.0}, 'weighted avg': {'precision': 0.8992710387184903, 'recall': 0.9, 'f1-score': 0.8993581340370983, 'support': 2160.0}}"
